N	Key word	Freq.	%	Texts	RC. Freq.	RC. %	BIC	Log_L	Log_R	D-Diff
1	ARTÍCULO	1.953	1	25	49.881	0,02	11.425,58	11.445,18	5,67	0,14
2	AUTORIZACIÓN	1.414	1	19	6.783	0	12.729,40	12.749,00	8,08	0,17
3	EXTRANJERO	1.277	1	16	12.513	0	9.803,11	9.822,71	7,05	0,29
4	RESIDENCIA	1.136	0	21	12.099	0	8.539,35	8.558,95	6,93	0,21
5	CASO	960	0	26	154.560	0,05	2.302,62	2.322,22	3,01	0,12
6	PREVER	732	0	3	2.623	0	6.961,41	6.981,01	8,5	0,22
7	DERECHO	697	0	22	101.863	0,03	1.785,00	1.804,60	3,15	0,12
8	ESTABLECER	645	0	11	25.118	0,01	3.237,97	3.257,57	5,06	0,25
9	DEBER	619	0	5	10.986	0	4.040,82	4.060,43	6,19	0,36
10	PERSONA	618	0	20	58.891	0,02	2.058,42	2.078,02	3,77	0,22
11	ESPAÑOL	593	0	21	86.024	0,03	1.523,51	1.543,11	3,16	0,14
12	PRESENTAR	560	0	13	20.665	0,01	2.866,42	2.886,02	5,14	0,41
13	OFICIAL	511	0	20	46.612	0,01	1.739,86	1.759,46	3,83	0,2
14	SOCIAL	486	0	18	100.193	0,03	950,14	969,74	2,66	0,12
15	PÁGINA	484	0	21	23.853	0,01	2.207,15	2.226,75	4,72	0,26
16	GENERAL	464	0	24	179.323	0,06	452,89	472,49	1,75	0,17
17	LEGISLACIÓN	463	0	23	25.024	0,01	2.029,30	2.048,90	4,59	0,25
18	PÚBLICO	459	0	18	65.808	0,02	1.184,36	1.203,96	3,18	0,15
19	ACORDAR	459	0	8	2.137	0	4.143,65	4.163,25	8,12	0,44
20	CONDICIÓN	455	0	14	24.829	0,01	1.985,60	2.005,20	4,57	0,2
21	INTERNACIONAL	451	0	15	98.324	0,03	838,22	857,82	2,57	0,22
22	DISPOSICIÓN	450	0	21	20.194	0,01	2.131,11	2.150,71	4,86	0,11
23	CONSOLIDAR	434	0	1	3.553	0	3.465,56	3.485,16	7,31	0,32
24	ENTRADA	430	0	22	33.992	0,01	1.575,30	1.594,90	4,04	0,31
25	TEMPORAL	425	0	13	11.123	0	2.451,09	2.470,69	5,63	0,32
26	REGLAMENTO	423	0	21	27.064	0,01	1.717,21	1.736,81	4,34	0,18
27	REQUERIR	422	0	4	1.074	0	4.253,64	4.273,24	9	0,39
28	SUPONER	418	0	7	6.330	0	2.849,44	2.869,04	6,42	0,33
29	ORGÁNICO	418	0	1	1.635	0	3.902,11	3.921,71	8,38	0,55
30	PERSONAS	414	0	18	140.511	0,04	479,38	498,98	1,94	0,21
31	ACTIVIDAD	412	0	13	46.030	0,01	1.245,72	1.265,32	3,54	0,24
32	SERVICIO	404	0	13	60.214	0,02	1.012,38	1.031,98	3,12	0,13
33	TRABAJADOR	404	0	8	4.633	0	2.967,57	2.987,17	6,82	0,56
34	EUROPEO	403	0	15	105.325	0,03	627,97	647,57	2,31	0,13
35	DISPONER	401	0	7	7.132	0	2.609,19	2.628,79	6,19	0,41
36	MENOR	379	0	15	47.032	0,01	1.072,32	1.091,92	3,39	0,36
37	OFICINA	374	0	14	15.737	0	1.813,88	1.833,48	4,95	0,26
38	CORRESPONDIENTE	357	0	18	13.151	0	1.821,43	1.841,03	5,14	0,12
39	INTERESADO	357	0	20	4.523	0	2.552,36	2.571,96	6,68	0,36
40	ASILO	352	0	11	8.391	0	2.089,92	2.109,52	5,77	0,25
41	EXTRANJERÍA	350	0	16	1.665	0	3.141,38	3.160,98	8,09	0,12
42	DURACIÓN	344	0	13	12.480	0	1.764,46	1.784,07	5,16	0,22
43	TERRITORIO	342	0	19	41.163	0,01	984,58	1.004,18	3,43	0,25
44	MES	338	0	12	44.163	0,01	922,9	942,5	3,31	0,17
45	APLICACIÓN	336	0	20	38.851	0,01	991,35	1.010,95	3,49	0,27
46	FAMILIAR	326	0	12	14.990	0	1.523,32	1.542,92	4,82	0,27
47	ÓRGANO	326	0	14	12.309	0	1.646,15	1.665,75	5,1	0,23
48	INFORMAR	325	0	6	5.911	0	2.097,03	2.116,63	6,16	0,34
49	SOLICITAR	323	0	16	5.431	0	2.132,64	2.152,24	6,27	0,42
50	ORDEN	320	0	22	79.475	0,02	520,77	540,37	2,39	0,31
51	ACOGER	315	0	2	2.444	0	2.541,61	2.561,21	7,39	0,5
52	SITUACIÓN	314	0	16	104.575	0,03	367,64	387,24	1,96	0,1
53	SOLICITANTE	311	0	17	539	0	3.324,59	3.344,19	9,55	0,13
54	ESTANCIA	306	0	16	12.203	0	1.511,93	1.531,53	5,03	0,17
55	MIEMBRO	304	0	10	43.410	0,01	779,97	799,57	3,19	0,27
56	AUTORIDAD	300	0	15	24.262	0,01	1.080,37	1.099,98	4,01	0,21
57	EFECTOS	298	0	20	31.479	0,01	926,07	945,67	3,62	0,11
58	REAL	296	0	23	95.750	0,03	358,3	377,9	2,01	0,57
59	TITULAR	294	0	14	12.737	0	1.405,30	1.424,90	4,91	0,15
60	ACOGIDA	292	0	8	5.426	0	1.870,08	1.889,68	6,13	0,59
61	TÍTULO	286	0	18	45.288	0,01	680,53	700,13	3,04	0,19
62	TRAMITACIÓN	284	0	20	2.990	0	2.126,35	2.145,95	6,95	0,11
63	CAPÍTULO	278	0	13	22.095	0,01	1.008,73	1.028,33	4,03	0,47
64	DETERMINAR	277	0	8	11.954	0	1.324,96	1.344,56	4,91	0,33
65	DECRETO	274	0	22	15.358	0	1.174,00	1.193,60	4,53	0,18
66	ADMINISTRATIVO	272	0	16	13.489	0	1.228,56	1.248,16	4,71	0,36
67	CIRCUNSTANCIA	266	0	9	6.334	0	1.575,08	1.594,68	5,77	0,16
68	ORIGEN	265	0	18	58.414	0,02	479,6	499,2	2,56	0,53
69	ADMINISTRACIÓN	262	0	16	41.084	0,01	626,26	645,86	3,05	0,11
70	ACREDITAR	260	0	13	824	0	2.515,75	2.535,35	8,68	0,38
71	DESARROLLAR	257	0	9	17.190	0,01	1.014,12	1.033,72	4,28	0,31
72	ENERO	257	0	18	64.173	0,02	412,16	431,76	2,38	0,1
73	PRESENTE	257	0	20	45.776	0,01	557,07	576,67	2,87	0,11
74	CARÁCTER	254	0	19	46.977	0,01	533,94	553,54	2,81	0,35
75	LABORAL	240	0	8	15.008	0	976,19	995,79	4,38	0,14
76	CONCESIÓN	238	0	17	7.789	0	1.261,77	1.281,37	5,31	0,23
77	ECONÓMICO	238	0	6	36.768	0,01	573,32	592,92	3,07	0,28
78	PREVIO	233	0	17	6.839	0	1.283,56	1.303,16	5,47	0,25
