								
N	Word	Freq.	%	Texts	%	Dispersion	Lemmas	Set
1	ARTÍCULO	1.953	0,78	n/a	n/a	n/a	ARTÍCULO[1834] ART[14] ARTÍCULOS[105]	
2	AUTORIZACIÓN	1.414	0,57	n/a	n/a	n/a	AUTORIZACIÓN[1154] AUTORIZACIONES[260]	
3	EXTRANJERO	1.277	0,51	n/a	n/a	n/a	EXTRANJERO[625] EXTRANJERA[39] EXTRANJERAS[17] EXTRANJEROS[596]	
4	RESIDENCIA	1.136	0,45	21	75,00	0,71		
5	ESPAÑA	965	0,39	25	89,29	0,78		
6	CASAR	960	0,38	n/a	n/a	n/a	CASAR[0] CASO[960]	
7	CASO	960	0,38	26	92,86	0,80		
8	SOLICITUD	924	0,37	n/a	n/a	n/a	SOLICITUD[737] SOLICITUDES[187]	
9	LEY	870	0,35	n/a	n/a	n/a	LEY[846] LEYES[24]	
10	PREVER	732	0,29	n/a	n/a	n/a	PREVER[4] PREVÉ[7] PREVEA[9] PREVEAN[4] PREVÉN[7] PREVIENDO[2] PREVISTA[91] PREVISTAS[114] PREVISTO[260] PREVISTOS[234]	
11	PROCEDIMIENTO	714	0,29	n/a	n/a	n/a	PROCEDIMIENTO[579] PROCEDIMIENTOS[135]	
12	DERECHO	697	0,28	n/a	n/a	n/a	DERECHO[447] DERECHOS[250]	
13	PROTECCIÓN	683	0,27	16	57,14	0,65		
14	ESTABLECER	645	0,26	n/a	n/a	n/a	ESTABLECER[38] ESTABLECE[55] ESTABLECEN[22] ESTABLECERÁ[22] ESTABLECERÁN[9] ESTABLECIDA[17] ESTABLECIDAS[64] ESTABLECIDO[237] ESTABLECIDOS[119] ESTABLECIENDO[5] ESTABLECIERON[1] ESTABLECIÓ[1] ESTABLEZCA[28] ESTABLEZCAN[27]	
15	DEBER	619	0,25	n/a	n/a	n/a	DEBER[7] DEBA[16] DEBAN[14] DEBERÁ[370] DEBERÁN[145] DEBERES[24] DEBIDA[8] DEBIDAS[3] DEBIDOS[1] DEBIENDO[29] DEBIERA[1] DEBIERON[1]	
16	PERSONA	618	0,25	n/a	n/a	n/a	PERSONA[204] PERSONAS[414]	
17	EXTRANJEROS	596	0,24	23	82,14	0,78		
18	ESPAÑOL	593	0,24	n/a	n/a	n/a	ESPAÑOL[336] ESPAÑOLA[146] ESPAÑOLAS[40] ESPAÑOLES[71]	
19	RESOLUCIÓN	570	0,23	n/a	n/a	n/a	RESOLUCIÓN[502] RESOLUCIONES[68]	
20	PRESENTAR	560	0,22	n/a	n/a	n/a	PRESENTAR[91] PRESENTADA[54] PRESENTADAS[43] PRESENTADO[28] PRESENTADOS[4] PRESENTAN[1] PRESENTANDO[1] PRESENTARA[1] PRESENTARÁ[23] PRESENTARÁN[14] PRESENTARON[1] PRESENTASE[10] PRESENTE[257] PRESENTEN[17] PRESENTES[9] PRESENTÓ[6]	
21	PLAZO	535	0,21	n/a	n/a	n/a	PLAZO[510] PLAZOS[25]	
22	OFICIAL	511	0,20	n/a	n/a	n/a	OFICIAL[493] OFICIALES[18]	
23	COMPETENTE	500	0,20	n/a	n/a	n/a	COMPETENTE[321] COMPETENTES[179]	
24	SOCIAL	486	0,19	n/a	n/a	n/a	SOCIAL[415] SOCIALES[71]	
25	PÁGINA	484	0,19	n/a	n/a	n/a	PÁGINA[413] PÁG[60] PÁGINAS[11]	
26	GENERAL	464	0,19	n/a	n/a	n/a	GENERAL[404] GENERALES[60]	
