N	Word	TF	IDF	%	Texts	%	Dispersion	Lemmas
1	ARTÍCULO	1.953		0,78	n/a	n/a	n/a	ARTÍCULO[1834] ART[14] ARTÍCULOS[105]
2	AUTORIZACIÓN	1.414		0,57	n/a	n/a	n/a	AUTORIZACIÓN[1154] AUTORIZACIONES[260]
3	EXTRANJERO	1.277		0,51	n/a	n/a	n/a	EXTRANJERO[625] EXTRANJERA[39] EXTRANJERAS[17] EXTRANJEROS[596]
4	RESIDENCIA	1.136	1	0,45	21	75	0,71	
5	ESPAÑA	965		0,39	25	89,29	0,78	
6	CASO	960		0,38	n/a	n/a	n/a	CASO[960] CASOS [138]
7	SOLICITUD	924		0,37	n/a	n/a	n/a	SOLICITUD[737] SOLICITUDES[187]
8	LEY	870		0,35	n/a	n/a	n/a	LEY[846] LEYES[24]
9	PROCEDIMIENTO	714		0,29	n/a	n/a	n/a	PROCEDIMIENTO[579] PROCEDIMIENTOS[135]
10	DERECHO	697		0,28	n/a	n/a	n/a	DERECHO[447] DERECHOS[250]
11	PROTECCIÓN	683		0,27	16	57,14	0,65	
12	PERSONA	618		0,25	n/a	n/a	n/a	PERSONA[204] PERSONAS[414]
13	EXTRANJEROS	596		0,24	23	82,14	0,78	
14	ESPAÑOL	593		0,24	n/a	n/a	n/a	ESPAÑOL[336] ESPAÑOLA[146] ESPAÑOLAS[40] ESPAÑOLES[71]
15	RESOLUCIÓN	570		0,23	n/a	n/a	n/a	RESOLUCIÓN[502] RESOLUCIONES[68]
16	PRESENTAR	560		0,22	n/a	n/a	n/a	PRESENTAR[91] PRESENTADA[54] PRESENTADAS[43] PRESENTADO[28] PRESENTADOS[4] PRESENTAN[1] PRESENTANDO[1] PRESENTARA[1] PRESENTARÁ[23] PRESENTARÁN[14] PRESENTARON[1] PRESENTASE[10] PRESENTE[257] PRESENTEN[17] PRESENTES[9] PRESENTÓ[6]
17	PLAZO	535		0,21	n/a	n/a	n/a	PLAZO[510] PLAZOS[25]
18	OFICIAL	511		0,2	n/a	n/a	n/a	OFICIAL[493] OFICIALES[18]
19	COMPETENTE	500		0,2	n/a	n/a	n/a	COMPETENTE[321] COMPETENTES[179]
20	SOCIAL	486		0,19	n/a	n/a	n/a	SOCIAL[415] SOCIALES[71]
21	LEGISLACIÓN	463		0,19	n/a	n/a	n/a	LEGISLACIÓN[462] LEGISLACIONES[1]
22	BOLETÍN	462		0,18	19	67,86	0,85	
23	PAÍS	453		0,18	n/a	n/a	n/a	PAÍS[315] PAÍSES[138]
24	INTERNACIONAL	451		0,18	n/a	n/a	n/a	INTERNACIONAL[363] INTERNACIONALES[88]
25	DISPOSICIÓN	450		0,18	n/a	n/a	n/a	DISPOSICIÓN[340] DISPOSICIONES[110]
26	CONSOLIDAR	434		0,17	n/a	n/a	n/a	CONSOLIDAR[1] CONSOLIDADA[391] CONSOLIDADO[42]
27	VISADO	431		0,17	n/a	n/a	n/a	VISADO[309] VISADOS[122]
28	ENTRADA	430		0,17	n/a	n/a	n/a	ENTRADA[417] ENTRADAS[13]
29	SEGURIDAD	427		0,17	22	78,57	0,82	
30	TEMPORAL	425		0,17	n/a	n/a	n/a	TEMPORAL[420] TEMPORALES[5]
31	REGLAMENTAR	424		0,17	n/a	n/a	n/a	REGLAMENTAR[0] REGLAMENTA[1] REGLAMENTO[423]
32	REGLAMENTO	423		0,17	21	75	0,81	
